"id_conservacao","nome"
"127d0ead-40c6-4e72-b21f-01b2af7fed59","APA Petrópolis"
"81304458-df73-44c1-8206-90ed8b59a55a","APA do Arquipélago de Trindade e Martim Vaz"
"a4164206-f31a-45cf-9e96-6ed90869310a","MONA do Arquipélago de Trindade e Martim Vaz e Monte Columbia"
"7ab24eb2-c333-4e8b-8efa-3fcacd77161c","PARNA Marinho de Fernando de Noronha"
"aa47cb1c-fb26-42e1-8164-dae5fae86c4a","APA Baleia Franca"
"5f8b198f-7137-474c-99c4-a0adeb737a3e","PARNA Marinho dos Abrolhos"
"a5a0bf05-9467-40a7-b1d2-bbc533c89fdf","ESEC da Serra das Araras"
"ba7b23e9-aaed-4d81-bd28-24ff456d40ab","ESEC da Terra do Meio"
"52c8e412-f2dd-4f15-95d9-819090daf905","ESEC de Taiamã"
"0bdb6cb7-15d7-4559-8a30-6f80908f0aeb","FLONA Amaná"
"f25b6efd-6bc5-4b87-8074-a016ed59eb93","FLONA Carajás"
"834e2839-eef0-40da-90db-b97b4f9660fc","FLONA Caxiuanã"
"b5f455d7-519b-4e56-bab7-df397c02911b","FLONA do Tapajós"
"308bc0be-ecc3-4c4d-bd27-e98040cbe058","FLONA Itaituba II"
"bb6c2551-25a4-48ab-93c6-def76500ca9c","FLONA Jamanxim"
"4b7e0748-130f-4e5d-9552-d9aa0511b74e","FLONA Jamari"
"7503036a-7a27-4586-90b3-6493fe01baa9","FLONA Jatuarana"
"d6273c32-2960-4977-9923-89487d79642f","FLONA Trairão"
"23435bbb-868c-49fa-8d65-f3897da603cb","PARNA Amazônia"
"93004fe7-102d-415e-9c7b-94591b189238","PARNA Campos Amazônicos"
"e70688c4-4427-40c7-921e-f25a16ffa30e","PARNA da Chapada dos Guimarães"
"a65f8a5f-d6dd-4f15-ae26-c51073d575c5","PARNA do Jamanxim"
"cb038d73-39ba-4b29-b610-6bdfe78b6d69","PARNA do Pantanal Mato-grossense"
"9f410f90-a2a7-4106-befa-7c4aec68f295","PARNA Juruena"
"9c9f2fbc-3e9e-4696-938c-a610a8f2b6f4","REBIO do Gurupi"
"aae50c8f-0ccf-462c-aac5-31d75b4ebf70","REBIO do Jaru"
"8499d6c0-e8d1-4628-83f0-eac8bef00be5","REBIO Nascentes da Serra do Cachimbo"
"cd9f959c-f386-4ccc-8abf-43d8e343acc9","RESEX Rio Iriri"
"e0fb6b40-c18e-4cd8-9eb2-6eb92efe5f1d","RESEX Riozinho do Anfrísio"
"57f1726b-5650-4959-ab3f-5aeb8a7fc937","ESEC de Maracá"
"1214b958-5be4-4702-8155-1f569e7f3a2a","APA Bacia do Rio Descoberto"
"7bcc0878-658f-4ccc-a6e5-83309c5fbd90","APA Ilhas e Várzeas do Rio Paraná"
"af6333d4-ffc8-475b-8004-eddca6154899","APA Planalto Central"
"577e5b8a-593d-41d2-9d37-6cd971dc97e6","FLONA de Brasília"
"b5bf4fb0-0d07-455f-a3e4-1fdd8a798553","FLONA de Ipanema"
"6ce2821c-98de-48be-8acb-dadee17d79b8","PARNA da Chapada dos Veadeiros"
"33d42bc5-4f1c-4783-aa68-9ea4c10faa22","PARNA das Emas"
"6f839007-d0b4-47db-8f6c-e9bd098a3a4f","PARNA da Serra da Canastra"
"19d8aefd-0f3f-4a52-a736-709382b7d48b","PARNA de Brasília"
"5385070b-058a-4513-896b-30e4888324e2","PARNA de Ilha Grande"
"762160a8-1c39-4b66-9cb4-02ecfdfde81e","APA Chapada do Araripe"
"d6451776-369e-4560-9349-488da59286ce","FLONA do Araripe-Apodi"
"a8e1294b-4b56-4831-9a09-1222a8c01375","APA do Boqueirao da Onça"
"6cfb2abd-553c-44b1-8235-bdb59bc7a29a","ARIE Corobobó"
"4495b246-4b59-4084-b4dc-79293bc458b8","ESEC Raso da Catarina"
"9d7117f4-0a81-4cac-94de-ebe37b03671f","ESEC Rio Acre"
"686ad9cd-8efc-4fad-b0a9-6da9e653b971","RESEX Chico Mendes"
"edd6c0cf-c80c-4c3d-9abd-6baaf8db8ed0","PARNA do Viruá"
"f79a4d64-ee43-470d-b347-935c6d4ef6d2","PARNA da Serra do Gandarela"
"ea74d30f-365e-4e13-9311-c723407aa261","APA Bacia do Rio Paraíba do Sul"
"35f51366-7f02-46ed-9bda-5c13bff68237","APA Cananéia-Iguape-Peruíbe"
"1b311eca-6114-4682-a76e-860deb307813","APA Guaraqueçaba"
"a754e8f4-8b1c-403c-8fc7-07154adf584e","PARNA da Serra da Bocaina"
"ba7d477e-a39d-4ec0-82fb-b4ac197fa9c3","PARNA da Serra do Itajaí"
"ce11f85d-6339-4ef7-88a4-a961a4773da4","PARNA da Serra dos Órgãos"
"2ff0198f-feb3-4561-8d98-bbe669479b37","PARNA de Itatiaia"
"1bc03c1b-2b15-4484-b0ce-881e30888899","PARNA Guaricana"
"81f47bf0-a962-4051-bc2b-4854a4b8d6ff","PARNA Iguaçu"
"f90c1c79-897c-43b7-8efb-58e323caa3b4","RESEX Mandirá"
"3c9ba013-c38f-4dc1-b88f-36ba266fe594","PARNA de Boa Nova"
"a13b5d1d-6ac8-405a-ba40-b4d10abc8da6","PARNA Serra das Lontras"
"6ba12793-e6c7-4a5e-bf66-217b56f24411","APA Bacia do Rio São João/Mico-Leão-Dourado"
"a4bfde15-debb-4734-8187-516b02545585","APA Cairuçu"
"b90efd5a-d0f6-4310-92ba-65b4df50907e","APA do Morro da Pedreira"
"c9fff699-4e6a-4802-b33a-1803e5420c97","APA Serra da Mantiqueira"
"ee608ab9-228b-4e41-a53f-c38bbc3cf9d0","FLONA de Goytacazes"
"12c000d7-c194-4a09-a77a-97b078758469","FLONA do Rio Preto"
"b11a368a-bc2d-4fd1-ac72-29501b55decf","PARNA da Chapada Diamantina"
"41263bc4-3f62-4d9a-9d6d-63adf2df9118","PARNA da Tijuca"
"99d3231c-2d12-4c0e-b7ff-94d50563553a","PARNA do Caparaó"
"8e08a371-362d-4f01-84ff-9a5dc78aa566","PARNA do Descobrimento"
"f6dcaaf8-d2fa-4b0b-be8c-5c4dc4aa1263","PARNA do Monte Pascoal"
"0cd0fd1a-fd31-4f95-8f08-cb2940f7904f","PARNA Saint-Hilaire/Lange"
"7457eba6-5d81-4afe-b833-eaa8b8180777","PARNA Superagui"
"cb39f9e4-5d37-4a05-9b6c-d057f863baaa","REBIO Augusto Ruschi"
"db0538fb-9770-43ad-9210-7f593110cfc7","REBIO de Poço das Antas"
"c28fe73c-ae57-4b80-a7ee-ec9853b964c4","REBIO de Sooretama"
"31e0864f-5552-4d76-b5de-a02ea5322ba6","REBIO do Córrego Grande"
"0f4151c9-a41b-46bc-9c64-8c2e16747b83","REBIO do Tinguá"
"d73564af-80f5-49d8-bbc0-26cb0e9a7acc","REBIO União"
"e170bf72-9e3a-4395-95f5-46518aef1a67","RESEX Cassurubá"
"e981687d-2235-4c84-971b-c7661a908b23","ESEC Aracuri-Esmeralda"
"a42a75bf-7b8a-4c43-908a-9eb6cf889e51","FLONA de Passo Fundo"
"67ed0d12-2ead-4db9-b4e5-f3c6acfd6317","Parna Aparados da Serra"
"6c0c1453-a91c-4815-b404-b7c8e9c03e4d","PARNA da Serra Geral"
"824c2bf6-43a1-42f6-9971-151bb8d06781","PARNA São Joaquim"
"7aba11c3-c24c-477e-8404-8d5659d37561","FLONA Pacotuba"
"521f3036-897c-4abf-9abb-6298c47e0c3f","PARNA Alto Cariri"
"ae737523-d2e8-4415-aea6-b7ce233cf639","PARNA do Pau Brasil"
"d4f4b4ad-ced5-4e41-9cbe-f99afd2877ed","REBIO de Una"
"087275c8-3fb2-46f3-9d03-0b64f73e6527","REBIO do Córrego do Veado"
"ffbafe72-5484-421a-bb73-e10d19093d0b","REVIS Una"
"5355e3f6-727c-4ca6-a9a7-acc19dac981a","FLONA Caçador"
"3dde0c54-ea97-4e2c-a4d0-94fe71fd284d","FLONA São Francisco de Paula"
"bd439e64-1941-4bb7-8240-78f2352007f8","PARNA Araucárias"
"ee0d6baa-39b2-4bc9-b2fc-5309c2d7be1f","REBIO da Mata Escura"
"3bfdc8b6-f931-4f26-889b-e467cf6f312d","ESEC de Murici"
"c8dd1d86-ab17-4532-a9d6-212c26358205","REBIO de Pedra Talhada"
"6efacca2-9102-4e9e-a2a3-a04ec140f1ab","PARNA da Lagoa do Peixe"
"2fcd2605-b4f5-4bd9-9244-7acd164a6ef1","REVIS dos Campos de Palmas"
"4ba4d555-3966-4803-91e1-bc0b7f59b113","APA Igarapé Gelado"
"bd177e8d-6eee-458e-af9b-152526fcd150","FLONA Tapirape-Aquiri"
"2235acf4-cd07-4796-a25c-3664eee8d260","PARNA Araguaia"
"d4a041a9-2aed-43f5-a4a3-9f78c4d36f7f","REBIO Guaribas"
"f732cb10-4cfa-42df-9d98-4d1f778f3218","REBIO Tapirapé"
"2bc8bbd3-3310-4c54-9541-0eb25f96ed6e","RESEX Maracanã"
"0c1d88b2-a0dc-4876-9fd6-03f42992f3e6","RESEX Quilombo Flexal"
"dc84df40-a6cd-4cf5-bfd2-03a2fcd1a184","APA Tapajós"
"a780cdd9-f563-4f43-9ab3-313f25b77ffd","FLONA Altamira"
