"id_especie","nome","filo","ordem","classe","familia","genero","grupo","endemica_brasil","migratoria"
"c0c27192-c53f-4922-b24d-307dc176aee6","Adelpha atlantica","Arthropoda","Lepidoptera","Insecta","Nymphalidae","Adelpha","Invertebrados Terrestres","Sim",NULL
"bb192dc1-c69d-4c6e-a43a-1258f22ac77f","Alopias superciliosus","Chordata","Lamniformes","Elasmobranchii","Alopiidae","Alopias","Tubarões e Raias","Não","Sim"
"c7461853-b436-4103-954a-c353dbf4ae56","Alopias vulpinus","Chordata","Lamniformes","Elasmobranchii","Alopiidae","Alopias","Tubarões e Raias","Não","Sim"
"177269df-9481-4e44-9a38-a75700bc51cb","Aburria cujubi","Chordata","Galliformes","Aves","Cracidae","Aburria","Aves","Não",NULL
"69bc3c26-8f2b-49a0-85b1-cc7c5f70804b","Aratinga solstitialis","Chordata","Psittaciformes","Aves","Psittacidae","Aratinga","Aves","Não","Não"
"f2152600-6c26-4359-8917-6f57a1270b21","Alectrurus tricolor","Chordata","Passeriformes","Aves","Tyrannidae","Alectrurus","Aves","Não",NULL
"e6b50224-ee01-4fa6-9d8d-beb8023d7cc1","Antilophia bokermanni","Chordata","Passeriformes","Aves","Pipridae","Antilophia","Aves","Sim","Não"
"a8b016c1-7cac-4de8-ac3a-b991a373b43d","Anodorhynchus leari","Chordata","Psittaciformes","Aves","Psittacidae","Anodorhynchus","Aves","Sim","Não"
"081fa40d-3a29-4acf-bfec-edbaded55cc9","Acherontides eleonorae","Arthropoda","Symphypleona","Entognatha","Arrhopalitidae","Arrhopalites","Invertebrados Terrestres","Sim","Não"
"45e9221f-93e8-4f22-983d-1f87f2cd700a","Aegla cavernicola","Arthropoda","Decapoda","Malacostraca","Aeglidae","Aegla","Invertebrados de Água Doce","Sim","Não"
"6faad31e-b64d-473b-bc1f-ed4b4e39b657","Aegla leptochela","Arthropoda","Decapoda","Malacostraca","Aeglidae","Aegla","Invertebrados de Água Doce","Sim","Não"
"3dd43c51-7fad-45d5-a1cd-ef41aa7af327","Aegla microphthalma","Arthropoda","Decapoda","Malacostraca","Aeglidae","Aegla","Invertebrados de Água Doce","Sim","Não"
"e4b58be0-ff36-4c26-8998-ec8d0ac32511","Amazoniscus leistikowi","Arthropoda","Isopoda","Malacostraca","Scleropactidae","Amazoniscus","Invertebrados Terrestres","Sim","Não"
"e14f0ec4-e335-431a-8997-7e7dc4820c5b","Archolaemus ferreirai","Chordata","Gymnotiformes","Actinopterygii","Sternopygidae","Archolaemus","Peixes Continentais","Sim","Não"
"de7cf631-c7dd-4fd0-b568-0d2b5464f072","Archolaemus santosi","Chordata","Gymnotiformes","Actinopterygii","Sternopygidae","Archolaemus","Peixes Continentais","Sim","Não"
"78d5e929-2974-4bcb-9e3a-d1996bb6ef05","Arrhopalites alambariensis","Arthropoda","Symphypleona","Entognatha","Arrhopalitidae","Arrhopalites","Invertebrados Terrestres","Sim","Não"
"80c1fb9b-ffd0-4968-bf32-dd1c876ede46","Arrhopalites amorimi","Arthropoda","Symphypleona","Entognatha","Arrhopalitidae","Arrhopalites","Invertebrados Terrestres","Sim","Não"
"3fd40c49-3a46-4924-94ef-22215b26cae7","Arrhopalites botuveraensis","Arthropoda","Symphypleona","Entognatha","Arrhopalitidae","Arrhopalites","Invertebrados Terrestres","Sim","Não"
