"id_localizacao","estado","regiao","bioma"
"83c72501-8a03-4706-992f-d1c498b999c1","Rio de Janeiro","Sudeste","Mata Atlântica"
"7ad95d08-43ce-4a3c-88b0-820c0c625522","Roraima","Norte","Amazônia"
"53003722-caa8-4e56-83a0-d3f5b4afa9b7","Ceará","Nordeste","Caatinga"
"e326faaf-0bff-4e58-8315-c102fa9997a2","Bahia","Nordeste","Caatinga"
"0ce95a70-d887-4126-bc7f-d14a72d66a8d","São Paulo","Sudeste","Mata Atlântica"
"611f7f0a-03d7-4c79-bdce-b5c8881a9892","Pará","Norte","Amazônia"
"0893fc6c-04d1-4118-ac7b-a387deb20320","Rondônia","Norte","Amazônia"
"bd67148c-35b9-44ad-a8da-ea6d01b0f411","Santa Catarina","Sul","Mata Atlântica"
"3b362879-6f46-4898-8a49-c60e04fe097d","Paraná","Sul","Mata Atlântica"
"a8771f97-1b4f-4c3e-96c8-fdc368b88f0c","Goiás","Centro-Oeste","Cerrado"
"a3e75118-2f86-4d2e-850e-42f825355f04","Minas Gerais","Sudeste","Cerrado"
"701ff08e-5fda-4655-8d9c-5ada635bacab","Minas Gerais","Sudeste","Mata Atlântica"
"378d48e6-108c-450d-901d-f098e228bacc","Espírito Santo","Sudeste","Mata Atlântica"
"a02cf072-bab2-4591-ad9e-45378b9cd9f6","Mato Grosso do Sul","Centro-Oeste","Cerrado"
"ca5f1dc4-a547-4137-9d0b-2f6e7ad56d95","Pernambuco","Nordeste","Caatinga"
"3556f4e7-e254-4511-8a2c-42b369a9c0db","Pernambuco","Nordeste","Mata Atlântica"
"d0b92343-34ca-43c2-a6c6-06c554ed3e2b","Rio Grande do Sul","Sul","Pampa"
"933103cf-de27-4aae-85b2-7fe23ffd93eb","Distrito Federal","Centro-Oeste","Cerrado"
"ae447fea-3769-409d-8706-f34c7089687f","Amazonas","Norte","Amazônia"
"16f7b547-5bb4-4b9a-9b4b-37d574270042","Goiás","Centro-Oeste","Cerrado"
"662bcdd6-b07c-4dac-98b8-31c99291227a","Maranhão","Nordeste","Amazônia"
"fed86867-1061-42e2-bcef-af1242c23453","Maranhão","Nordeste","Cerrado"
"ff3a05b9-9da8-464b-ac40-f6ac896139d1","Mato Grosso","Centro-Oeste","Amazônia"
"fc77e2b9-fcf2-4949-84fd-bf3ff6639806","Mato Grosso","Centro-Oeste","Cerrado"
