"id_pan","pan_nome","pan_nome_completo","pan_nome_fantasia","pan_abreviacao_taxonomica","pan_ciclo","pan_status","pan_inicio_data","pan_fim_data","pan_abrangencia_geografica"
"CBC_02.01","Insetos Polinizadores","Plano de Ação Nacional para a Conservação Plano de Ação Nacional para a Conservação dos Insetos Polinizadores Ameaçados de Extinção","Insetos Polinizadores","Intraclasse","1º ciclo","Em execução","2022-05-12","2027-12-31","Nacional"
"CEPSUL_01.01","Tubarões","Plano de Ação Nacional para a Conservação dos Tubarões e Raias Marinhas Ameaçados de Extinção","Tubarões","Intraclasse","1º ciclo","Em execução","2014-04-12","2019-01-07","Bioma"
"CEPSUL_04.02","Tubarões","Plano de Ação Nacional para a Conservação dos Tubarões e Raias Marinhas Ameaçados de Extinção","Tubarões","Intraclasse","2º ciclo","Previsto",NULL,NULL,"Bioma"
"CEMAVE_30.02","Aves da Amazônia","Plano de Ação Nacional para Conservação das Aves da Amazônia","Aves da Amazônia","Intraclasse","2º ciclo","Em execução","2023-01-08","2028-01-07","Bioma"
"CEMAVE_25.02","Aves da Caatinga","Plano de Ação Nacional para Conservação das Aves da Caatinga","Aves da Caatinga","Intraclasse","2º ciclo","Finalizado","2018-09-04","2023-01-02","Bioma"
"CEMAVE_29.02","Aves do Cerrado e Pantanal","Plano de Ação Nacional para Conservação das Aves do Cerrado e Pantanal","Aves do Cerrado e Pantanal","Intraclasse","2º ciclo","Em execução","2023-01-09","2028-01-08","Bioma"
"CEMAVE_32.03","Aves dos Campos Sulinos","Plano de Ação Nacional para a Conservação das Aves dos Campos Sulinos","Aves dos Campos Sulinos","Intraclasse","3º ciclo","Em execução",NULL,NULL,"Ecossistema"
"CEMAVE_12.01","Passeriformes dos Campos Sulinos","Plano de Ação Nacional para a Conservação das Aves dos Campos Sulinos","Aves dos Campos Sulinos","Intraclasse","1º ciclo","Finalizado","2012-02-17","2017-01-02","Ecossistema"
"CEMAVE_19.02","Soldadinho-do-araripe","Plano de Ação Nacional para Conservação do Soldadinho-do-araripe","Soldadinho-do-araripe","Monoespecífico","2º ciclo","Finalizado","2016-09-29","2021-01-10","Específico (distribuição da espécie)"
"CEMAVE_15.02","Arara-azul-de-Lear","Plano de Ação Nacional para Conservação da Arara-azul-de-lear (Anodorhynchus leari)","Arara-azul-de-Lear","Monoespecífico","2º ciclo","Finalizado","2014-03-27","2017-01-02","Específico (distribuição da espécie)"
"CECAV_03.01","Cavernas do Brasil","Plano de Ação Nacional para a Conservação do Patrimônio Espeleológico Brasileiro","Cavernas do Brasil","Multiclasse","1º ciclo","Em execução","2022-09-08","2027-01-08","Ecossistema"
