"id_risco","id_especie","tendencia_populacional","ameaca","categoria","possivelmente_extinta","uso"
"bcc8dc46-3fa2-4967-be8b-ede9040c3a09","c0c27192-c53f-4922-b24d-307dc176aee6","Desconhecida","1 - Desenvolvimento residencial e comercial","Em Perigo","Não",NULL
"c6316455-ad15-4633-afff-bf0118536f8a","bb192dc1-c69d-4c6e-a43a-1258f22ac77f","Declinando","5 - Uso de recursos biológicos","Em Perigo","Não","1 - Alimentação humana"
"31ae8693-cf4b-497f-90b1-7f936c411167","c7461853-b436-4103-954a-c353dbf4ae56","Declinando","5 - Uso de recursos biológicos","Criticamente em Perigo","Não","13 - Outros bens de consumo 1"
"61f47488-04e1-4446-aed0-d6d10474e73f","177269df-9481-4e44-9a38-a75700bc51cb","Declinando","1 - Desenvolvimento residencial e comercial","Vulnerável","Não",NULL
"cdf79622-288d-449d-a780-21491171a163","69bc3c26-8f2b-49a0-85b1-cc7c5f70804b","Declinando","2 - Agropecuária e Aquacultura","Em Perigo","Não","3 - Animais de estimação/ornamentais"
"d82e1307-b689-49f6-bd13-f61f41c9a7d3","f2152600-6c26-4359-8917-6f57a1270b21","Declinando","1 - Desenvolvimento residencial e comercial","Vulnerável","Não",NULL
"497e1c1a-9cc4-440c-bcfa-1ab1489ff3b5","e6b50224-ee01-4fa6-9d8d-beb8023d7cc1","Declinando","1 - Desenvolvimento residencial e comercial","Criticamente em Perigo","Não",NULL
"a957f170-38fa-4722-a413-f39a24d1d58b","a8b016c1-7cac-4de8-ac3a-b991a373b43d","Aumentando","5 - Uso de recursos biológicos","Em Perigo","Não","3 - Animais de estimação/ornamentais"
"a23f379b-a541-470b-9aee-d2116fb15361","081fa40d-3a29-4acf-bfec-edbaded55cc9","Desconhecida","6 - Distúrbios humanos 6","Vulnerável","Não","15 - Pesquisa"
"8c440455-4fdb-4e7f-ae84-8e5f239a41b9","45e9221f-93e8-4f22-983d-1f87f2cd700a","Declinando","1 - Desenvolvimento residencial e comercial","Criticamente em Perigo","Não","15 - Pesquisa"
